New Mexico Tech Lightning Mapping Array -- analyzed data
Exported on: Mon May  4 13:35:20 2020
Original data file: /Users/sharm261/Desktop/mount/OKLMA_data_2013_cases/20130519/LYLOUT_130519_212000_0600.dat.gz
Analysis started: Thu Aug 29 03:15:48 2013
Analysis finished: Thu Aug 29 06:41:36 2013
Data start time: 05/19/13 21:20:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Data:time (UT sec of day), lat, lon, alt(m), reduced chi^2, # of stations contributed, P(dBW), charge, mask
Number of events:       39389
Flash stats: not saved
*** data ***
 76801.606129158   35.703003  -97.546783  10393.2   0.38 11  2.1500e+01  0 17f8c
 76801.606249233   35.701038  -97.548752   9786.6   0.59  8  1.4600e+01  0 1078d
 76801.606990750   35.728123  -97.409378  10515.5   0.19  9  1.2500e+01 -3 10f8d
 76801.608237341   35.716602  -97.414658   9394.2   0.47 10  1.3600e+01  0 13f85
 76801.608411858   35.718250  -97.412544   9714.9   0.39 10  1.4800e+01  0 11f8d
 76801.608584071   35.717247  -97.414154   9686.6   0.44  8  1.2000e+01  0 1078d
 76801.609038234   35.715405  -97.416252   9707.6   0.78 12  2.0400e+01  0 17f8d
 76801.609380134   35.714020  -97.430878   9941.6   0.25  7  1.0800e+01  0   f0d
 76801.609438522   35.874489  -97.392723   5134.3   0.94  7  1.9600e+01  3  168d
 76801.611834264   35.705925  -97.451477   8376.1   0.39  7  1.2000e+01  0   78d
 76801.613860407   35.714901  -97.489769   4072.6   0.22  7  1.0800e+01  3   78d
 76801.615790794   35.705437  -97.484215   5597.7   0.14  7  1.5600e+01  3   78d
 76801.617159056   35.732437  -97.389656  10326.2   0.59  8  1.7200e+01 -3   f8d
 76801.617951707   35.730183  -97.393761  10367.0   0.60 11  1.9900e+01 -3 13f8d
 76801.618773377   35.702999  -97.542946   9912.5   0.70  7  1.0400e+01  0 1158c
 76801.618959236   35.704617  -97.541405   9798.1   0.31  8  1.1800e+01  0 1078d
 76801.620348761   35.705185  -97.478798   5668.5   0.60  7  1.3700e+01  3   78d
 76801.621305199   35.856838  -97.312141   7337.0   0.81  7  1.7600e+01  3   78d
 76801.621769848   35.670071  -97.450821  16332.9   0.23  9  1.4000e+01  0 10f8d
 76801.624927531   35.694515  -97.542145  10684.2   0.69  7  1.2300e+01  0  1d89
 76801.628338368   35.704350  -97.538506   9165.7   0.18  7  1.5100e+01  0   f85
 76801.628734040   35.871216  -97.384514   6490.3   0.28  7  1.8700e+01  3   78d
 76801.629382124   35.876328  -97.381523   6085.6   0.23  7  1.2400e+01  3   78d
 76801.633487831   35.749691  -97.341469   6113.4   0.40  7  1.3000e+01  0   78d
 76801.634029874   35.708172  -97.537781   9016.0   0.12  7  1.1700e+01  0   78d
 76801.638379081   35.710953  -97.537048   9071.9   0.10  7  1.2300e+01  0  1e85
 76801.641044388   35.872627  -97.361992   6310.2   0.37  7  1.2100e+01  3   78d
 76801.655699088   35.864304  -97.358330   6866.9   0.76  7  1.7300e+01  3   78d
 76801.655854171   35.734413  -97.408386   9648.2   0.49  9  1.2200e+01 -3  3d8d
 76801.657823601   35.724213  -97.388458  10368.6   0.25  9  1.4200e+01 -3 13f88
 76801.659114509   35.715351  -97.416641   9686.3   0.23 10  1.4300e+01  0  3f8d
 76801.659923949   35.705444  -97.429321  10059.8   0.55  7  1.1200e+01  0  1789
 76801.661481311   35.720364  -97.387177  10356.6   0.43 11  1.4200e+01  0 13f8d
 76801.662175246   35.869629  -97.345444   6714.0   0.48  7  1.6700e+01  3   78d
 76801.662469824   35.704556  -97.442604   9909.9   0.77  8  1.9600e+01  0 11d85
