	2013-05-19 20:02:36	2013-05-19 20:06:52	2013-05-19 20:11:07	2013-05-19 20:15:23	2013-05-19 20:19:38	2013-05-19 20:23:52	2013-05-19 20:28:09	2013-05-19 20:32:24	2013-05-19 20:36:40	2013-05-19 20:40:56	2013-05-19 20:45:12	2013-05-19 20:49:28	2013-05-19 20:53:47	2013-05-19 20:58:03	2013-05-19 21:02:19	2013-05-19 21:06:34	2013-05-19 21:10:48	2013-05-19 21:15:03	2013-05-19 21:19:20	2013-05-19 21:23:39	2013-05-19 21:27:57	2013-05-19 21:32:13	2013-05-19 21:36:29	2013-05-19 21:40:44	2013-05-19 21:45:00	2013-05-19 21:49:14	2013-05-19 21:53:32	2013-05-19 21:57:47	2013-05-19 22:02:03	2013-05-19 22:06:17	2013-05-19 22:10:33	2013-05-19 22:14:50	2013-05-19 22:19:06	2013-05-19 22:23:22	2013-05-19 22:27:38	2013-05-19 22:31:53	2013-05-19 22:36:07	2013-05-19 22:40:25	2013-05-19 22:44:38	2013-05-19 22:48:56	2013-05-19 22:53:11	2013-05-19 22:57:25
7000	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	2.0	3.0	0.0	5.0	7.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	0.0
7500	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	1.0	1.0	2.0	3.0	8.0	6.0	4.0	2.0	0.0	7.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
8000	7.4e-323	0.0	0.0	0.0	6e-322	0.0	0.0	1.0	2.0	6.0	4.0	11.0	6.0	3.0	6.0	4.0	9.0	7.0	4.0	9.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
8500	0.0	0.0	0.0	0.0	8e-323	0.0	0.0	5.0	4.0	4.0	5.0	15.0	17.0	18.0	9.0	5.0	14.0	6.0	6.0	4.0	8.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	6e-322
9000	0.0	0.0	0.0	0.0	5e-324	0.0	0.0	8.0	8.0	9.0	5.0	25.0	13.0	13.0	12.0	13.0	10.0	10.0	10.0	13.0	12.0	4.0	3.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	6e-322
9500	0.0	0.0	0.0	0.0	5e-324	0.0	0.0	4.0	12.0	11.0	8.0	19.0	20.0	24.0	18.0	12.0	16.0	7.0	5.0	7.0	14.0	11.0	4.0	2.0	1.0	0.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
10000	0.0	0.0	0.0	0.0	7.4e-323	0.0	0.0	2.0	10.0	8.0	12.0	15.0	20.0	19.0	12.0	10.0	10.0	14.0	7.0	9.0	22.0	5.0	10.0	4.0	2.0	1.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
10500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	7.0	9.0	17.0	5.0	17.0	4.0	9.0	11.0	32.0	7.0	7.0	15.0	9.0	8.0	3.0	2.0	2.0	2.0	5.0	4.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	6e-322
11000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	4.0	15.0	9.0	9.0	5.0	5.0	6.0	11.0	7.0	20.0	14.0	8.0	15.0	7.0	5.0	3.0	1.0	1.0	5.0	2.0	2.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	8e-323
11500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	6.0	5.0	4.0	3.0	2.0	2.0	5.0	2.0	9.0	12.0	10.0	10.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
12000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	0.0	3.0	2.0	2.0	3.0	4.0	0.0	1.0	7.0	1.0	4.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
12500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	7.4e-323
13000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
13500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
14000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
14500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
15000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
