# start_isoformat, end_isoformat, number, mean, variance, skewness, kurtosis, energy, energy_per_flash, total_energy, specific_energy
2013-05-19T20:00:00, 2013-05-19T20:01:00, 30.0, 2.829458713531494, 3.1441028118133545, 0.6557543873786926, -0.7907105684280396, 334.4981689453125, 11.149938583374023, 85256142848.0, 30.659889221191406
2013-05-19T20:01:00, 2013-05-19T20:02:00, 22.0, 3.272557020187378, 5.418497562408447, 0.7582036256790161, -0.669992983341217, 354.81878662109375, 16.12812614440918, 75992104960.0, 19.46581268310547
2013-05-19T20:02:00, 2013-05-19T20:03:00, 32.0, 2.807090997695923, 2.4749088287353516, 0.26217520236968994, -1.0685486793518066, 331.3493957519531, 10.354668617248535, 89782190080.0, 42.67629623413086
2013-05-19T20:03:00, 2013-05-19T20:04:00, 29.0, 3.27030086517334, 3.532651901245117, 0.27975016832351685, -0.9106848835945129, 412.5980529785156, 14.227519035339355, 109394919424.0, 27.158353805541992
2013-05-19T20:04:00, 2013-05-19T20:05:00, 31.0, 3.4103071689605713, 3.7979719638824463, 0.2055499106645584, -0.9991294145584106, 478.2731628417969, 15.428166389465332, 114453028864.0, 33.24673080444336
2013-05-19T20:05:00, 2013-05-19T20:06:00, 37.0, 3.0644752979278564, 4.651221752166748, 0.6742984652519226, -0.18224669992923737, 519.5625610351562, 14.042231559753418, 118683107328.0, 62.385162353515625
2013-05-19T20:06:00, 2013-05-19T20:07:00, 32.0, 3.6424360275268555, 4.9615797996521, 1.0064899921417236, 0.674047589302063, 583.325439453125, 18.228919982910156, 138199236608.0, 28.969127655029297
2013-05-19T20:07:00, 2013-05-19T20:08:00, 40.0, 3.5566763877868652, 4.915719985961914, 1.1731635332107544, 1.791690707206726, 702.626708984375, 17.5656681060791, 188631711744.0, 36.740623474121094
2013-05-19T20:08:00, 2013-05-19T20:09:00, 50.0, 3.239691734313965, 3.7495033740997314, 0.6554624438285828, -0.28487423062324524, 712.2553100585938, 14.245105743408203, 195281666048.0, 52.2474479675293
2013-05-19T20:09:00, 2013-05-19T20:10:00, 50.0, 3.20760440826416, 4.047338485717773, 0.9688284397125244, 0.5361931920051575, 716.80322265625, 14.336064338684082, 168709570560.0, 62.34024429321289
2013-05-19T20:10:00, 2013-05-19T20:11:00, 53.0, 3.3126399517059326, 6.0327863693237305, 2.20210337638855, 8.88642406463623, 901.3375854492188, 17.00636863708496, 227602907136.0, 92.43250274658203
2013-05-19T20:11:00, 2013-05-19T20:12:00, 61.0, 3.197436571121216, 3.2464816570281982, 0.800033688545227, 0.1022835299372673, 821.6749877929688, 13.470081329345703, 201344385024.0, 60.901161193847656
2013-05-19T20:12:00, 2013-05-19T20:13:00, 67.0, 3.2140955924987793, 4.5202484130859375, 0.9968897104263306, 0.9073580503463745, 994.994140625, 14.850658416748047, 264596717568.0, 103.72267150878906
2013-05-19T20:13:00, 2013-05-19T20:14:00, 61.0, 3.28471040725708, 3.1450271606445312, 0.552760124206543, -0.2709178328514099, 849.995361328125, 13.93435001373291, 185710673920.0, 83.71539306640625
2013-05-19T20:14:00, 2013-05-19T20:15:00, 60.0, 3.505600929260254, 5.908535957336426, 1.147935390472412, 1.4417436122894287, 1091.866455078125, 18.19777488708496, 231846051840.0, 76.90666961669922
2013-05-19T20:15:00, 2013-05-19T20:16:00, 52.0, 3.9926342964172363, 5.185499668121338, 0.9516693949699402, 1.4437826871871948, 1098.584716796875, 21.126628875732422, 253735485440.0, 44.45313262939453
2013-05-19T20:16:00, 2013-05-19T20:17:00, 51.0, 4.008662223815918, 7.762771129608154, 1.7390220165252686, 4.677676200866699, 1215.4393310546875, 23.832143783569336, 241358684160.0, 56.841773986816406
2013-05-19T20:17:00, 2013-05-19T20:18:00, 57.0, 4.314531326293945, 6.375066757202148, 0.6968917846679688, 0.032211340963840485, 1424.444091796875, 24.99024772644043, 295552712704.0, 43.768150329589844
2013-05-19T20:18:00, 2013-05-19T20:19:00, 60.0, 3.4903063774108887, 6.120381832122803, 1.1001101732254028, 0.6167894005775452, 1098.1572265625, 18.30261993408203, 256814104576.0, 62.06070327758789
2013-05-19T20:19:00, 2013-05-19T20:20:00, 53.0, 3.5499486923217773, 7.469298839569092, 1.0579617023468018, 0.3500504493713379, 1063.7860107421875, 20.071434020996094, 254151229440.0, 88.92880249023438
2013-05-19T20:20:00, 2013-05-19T20:21:00, 55.0, 3.6881508827209473, 10.469074249267578, 1.4786121845245361, 1.987404704093933, 1323.9342041015625, 24.071531295776367, 285740433408.0, 103.62157440185547
2013-05-19T20:21:00, 2013-05-19T20:22:00, 81.0, 2.804131269454956, 6.516395092010498, 1.9353446960449219, 4.792557239532471, 1164.7432861328125, 14.379547119140625, 244652277760.0, 166.9476776123047
2013-05-19T20:22:00, 2013-05-19T20:23:00, 103.0, 2.7041733264923096, 5.945764541625977, 2.06257963180542, 6.081239700317383, 1365.606689453125, 13.258316993713379, 337263919104.0, 229.13037109375
2013-05-19T20:23:00, 2013-05-19T20:24:00, 123.0, 2.3463690280914307, 4.263846397399902, 2.2392942905426025, 6.435489654541016, 1201.6231689453125, 9.769293785095215, 281638469632.0, 244.98306274414062
2013-05-19T20:24:00, 2013-05-19T20:25:00, 152.0, 2.5970258712768555, 5.1031341552734375, 1.766563057899475, 3.2768845558166504, 1800.846923828125, 11.847677230834961, 419356770304.0, 297.6594543457031
2013-05-19T20:25:00, 2013-05-19T20:26:00, 177.0, 2.4206528663635254, 3.5015578269958496, 1.595283031463623, 4.433225154876709, 1656.91796875, 9.36111831665039, 405727969280.0, 366.16583251953125
