datetime,lat,lon,unknown,Power,kA,strokes
2013-05-19 20:56:58,35.748000000000005,-97.38799999999999,126.3,25.8,kA,1
2013-05-19 20:57:04,35.665,-97.444,66.7,15.6,kA,1
2013-05-19 20:57:18,35.679,-97.461,-188.9,-28.1,kA,1
2013-05-19 20:57:19,35.611,-97.40899999999999,102.9,21.8,kA,2
2013-05-19 20:58:18,35.699,-97.62899999999999,77.2,17.4,kA,1
2013-05-19 20:58:50,35.611,-97.59299999999999,94.7,20.4,kA,1
2013-05-19 20:58:53,35.684,-97.538,-130.4,-18.1,kA,1
2013-05-19 20:59:06,35.621,-97.52,-122.2,-16.7,kA,1
2013-05-19 20:59:06,35.705,-97.428,-128.7,-17.8,kA,1
2013-05-19 20:59:08,35.691,-97.491,-149.1,-21.3,kA,3
2013-05-19 20:59:32,35.699,-97.46600000000001,-145.0,-20.6,kA,1
2013-05-19 20:59:48,35.637,-97.52600000000001,-166.1,-24.2,kA,1
2013-05-19 20:59:55,35.55,-97.708,152.0,30.2,kA,1
2013-05-19 21:00:05,35.59,-97.37299999999999,-197.1,-29.5,kA,1
2013-05-19 21:00:20,35.717,-97.38799999999999,-114.0,-15.3,kA,1
2013-05-19 21:00:44,35.843,-97.54799999999999,-123.4,-16.9,kA,1
2013-05-19 21:00:54,35.582,-97.36200000000001,307.0,56.7,kA,1
2013-05-19 21:01:11,35.662,-97.50299999999999,92.4,20.0,kA,1
2013-05-19 21:01:25,35.703,-97.568,526.9,94.3,kA,2
2013-05-19 21:01:36,35.721,-97.637,107.6,22.6,kA,1
2013-05-19 21:01:37,35.626,-97.63600000000001,-176.0,-25.9,kA,1
2013-05-19 21:01:40,35.672,-97.494,159.1,31.4,kA,1
2013-05-19 21:01:43,35.683,-97.51100000000001,-169.0,-24.7,kA,4
2013-05-19 21:01:43,35.672,-97.25200000000001,-138.0,-19.4,kA,2
2013-05-19 21:01:50,35.769,-97.4,140.4,28.2,kA,2
2013-05-19 21:01:54,35.696,-97.36200000000001,91.8,19.9,kA,1
2013-05-19 21:01:59,35.577,-97.35,-118.1,-16.0,kA,1
2013-05-19 21:02:04,35.469,-97.51899999999999,113.5,23.6,kA,1
2013-05-19 21:02:06,35.621,-97.573,97.1,20.8,kA,1
2013-05-19 21:02:06,35.681,-97.314,68.4,15.9,kA,1
2013-05-19 21:02:11,35.533,-97.46600000000001,-140.4,-19.8,kA,1
2013-05-19 21:02:16,35.701,-97.397,-121.6,-16.6,kA,2
2013-05-19 21:02:17,35.797,-97.535,466.7,84.0,kA,2
2013-05-19 21:02:27,35.628,-97.535,-115.8,-15.6,kA,2
2013-05-19 21:02:34,35.503,-97.689,112.9,23.5,kA,1
2013-05-19 21:03:05,35.787,-97.525,353.8,64.7,kA,1
2013-05-19 21:03:05,35.709,-97.406,-209.9,-31.7,kA,1
2013-05-19 21:03:17,35.635999999999996,-97.34100000000001,-113.5,-15.2,kA,1
2013-05-19 21:03:36,35.716,-97.51799999999999,86.5,19.0,kA,2
2013-05-19 21:03:43,35.615,-97.516,72.5,16.6,kA,1
2013-05-19 21:03:52,35.821999999999996,-97.516,266.1,49.7,kA,1
2013-05-19 21:04:00,35.757,-97.447,81.9,18.2,kA,1
2013-05-19 21:04:12,35.725,-97.575,105.8,22.3,kA,1
2013-05-19 21:04:26,35.724000000000004,-97.525,-126.3,-17.4,kA,2
2013-05-19 21:04:33,35.666,-97.47,1313.5,228.8,kA,1
2013-05-19 21:04:34,35.803000000000004,-97.49600000000001,-119.3,-16.2,kA,1
2013-05-19 21:04:46,35.63,-97.586,-139.2,-19.6,kA,1
2013-05-19 21:04:49,35.673,-97.45,923.4,162.1,kA,3
2013-05-19 21:04:56,35.722,-97.536,-134.5,-18.8,kA,3
2013-05-19 21:05:13,35.67,-97.471,953.2,167.2,kA,3
2013-05-19 21:05:17,35.62,-97.26899999999999,77.8,17.5,kA,1
2013-05-19 21:05:18,35.673,-97.44200000000001,655.6,116.3,kA,2
2013-05-19 21:05:23,35.65,-97.434,69.6,16.1,kA,1
2013-05-19 21:05:28,35.775999999999996,-97.306,-126.9,-17.5,kA,1
2013-05-19 21:05:29,35.665,-97.45100000000001,790.1,139.3,kA,2
2013-05-19 21:05:36,35.671,-97.464,786.5,138.7,kA,1
2013-05-19 21:05:42,35.733000000000004,-97.46600000000001,1124.6,196.5,kA,1
2013-05-19 21:05:51,35.685,-97.427,456.1,82.2,kA,1
2013-05-19 21:05:57,35.637,-97.494,-188.9,-28.1,kA,1
2013-05-19 21:06:01,35.676,-97.429,566.1,101.0,kA,1
2013-05-19 21:06:05,35.719,-97.48200000000001,-114.6,-15.4,kA,1
2013-05-19 21:06:21,35.726,-97.484,-183.6,-27.2,kA,1
2013-05-19 21:06:28,35.758,-97.411,1315.8,229.2,kA,1
2013-05-19 21:06:31,35.735,-97.446,702.9,124.4,kA,2
2013-05-19 21:06:44,35.671,-97.443,939.8,164.9,kA,2
2013-05-19 21:06:57,35.754,-97.38799999999999,-119.3,-16.2,kA,2
2013-05-19 21:07:08,35.809,-97.459,295.3,54.7,kA,1
2013-05-19 21:07:14,35.653,-97.249,-133.9,-18.7,kA,1
2013-05-19 21:07:17,35.735,-97.348,-118.1,-16.0,kA,1
2013-05-19 21:07:20,35.664,-97.368,813.5,143.3,kA,3
2013-05-19 21:07:21,35.733000000000004,-97.523,-142.1,-20.1,kA,3
2013-05-19 21:07:24,35.611,-97.484,-112.9,-15.1,kA,2
2013-05-19 21:07:34,35.696999999999996,-97.42299999999999,700.0,123.9,kA,4
2013-05-19 21:07:38,35.742,-97.527,-113.5,-15.2,kA,2
2013-05-19 21:07:44,35.718,-97.34899999999999,-113.5,-15.2,kA,1
2013-05-19 21:07:47,35.765,-97.37799999999999,-121.6,-16.6,kA,2
2013-05-19 21:07:51,35.8,-97.47200000000001,652.0,115.7,kA,1
2013-05-19 21:07:54,35.689,-97.35600000000001,349.7,64.0,kA,1
2013-05-19 21:08:05,35.687,-97.355,460.8,83.0,kA,1
2013-05-19 21:08:13,35.709,-97.427,65.5,15.4,kA,1
2013-05-19 21:08:17,35.672,-97.351,953.2,167.2,kA,1
2013-05-19 21:08:18,35.693000000000005,-97.494,85.4,18.8,kA,1
2013-05-19 21:08:21,35.708,-97.48299999999999,-126.9,-17.5,kA,1
2013-05-19 21:08:31,35.707,-97.50299999999999,166.7,32.7,kA,1
2013-05-19 21:08:33,35.778,-97.412,-113.5,-15.2,kA,1
2013-05-19 21:08:39,35.679,-97.34700000000001,1177.8,205.6,kA,2
2013-05-19 21:09:00,35.736999999999995,-97.516,407.6,73.9,kA,2
2013-05-19 21:09:02,35.666,-97.329,743.3,131.3,kA,1
2013-05-19 21:09:11,35.760999999999996,-97.45,90.1,19.6,kA,2
2013-05-19 21:09:20,35.696,-97.301,611.1,108.7,kA,1
2013-05-19 21:09:47,35.756,-97.495,150.3,29.9,kA,1
2013-05-19 21:10:01,35.708,-97.475,-118.7,-16.1,kA,3
2013-05-19 21:10:24,35.701,-97.391,664.3,117.8,kA,3
2013-05-19 21:10:28,35.818000000000005,-97.41,-133.9,-18.7,kA,1
2013-05-19 21:10:30,35.67,-97.319,-119.9,-16.3,kA,1
2013-05-19 21:10:34,35.603,-97.454,-122.2,-16.7,kA,1
2013-05-19 21:10:44,35.896,-97.421,-122.2,-16.7,kA,1
2013-05-19 21:10:51,35.791,-97.415,-144.4,-20.5,kA,1
2013-05-19 21:11:25,35.698,-97.48200000000001,143.9,28.8,kA,1
2013-05-19 21:11:56,35.691,-97.435,-120.5,-16.4,kA,2
2013-05-19 21:12:06,35.814,-97.32700000000001,-135.1,-18.9,kA,2
2013-05-19 21:12:16,35.709,-97.367,68.4,15.9,kA,1
2013-05-19 21:12:22,35.825,-97.491,311.7,57.5,kA,1
2013-05-19 21:12:23,35.728,-97.41799999999999,775.4,136.8,kA,2
2013-05-19 21:12:40,35.684,-97.571,117.5,24.3,kA,1
2013-05-19 21:12:50,35.707,-97.389,470.8,84.7,kA,3
2013-05-19 21:12:52,35.812,-97.485,264.9,49.5,kA,2
2013-05-19 21:13:03,35.751,-97.381,-197.1,-29.5,kA,1
2013-05-19 21:13:11,35.696999999999996,-97.391,-149.1,-21.3,kA,2
2013-05-19 21:13:16,35.813,-97.074,-128.1,-17.7,kA,1
2013-05-19 21:13:17,35.806,-97.365,-140.4,-19.8,kA,2
2013-05-19 21:13:20,35.592,-97.398,-117.0,-15.8,kA,1
2013-05-19 21:13:21,35.736999999999995,-97.448,-118.1,-16.0,kA,2
2013-05-19 21:13:44,35.687,-97.45200000000001,-138.0,-19.4,kA,1
2013-05-19 21:13:58,35.674,-97.434,-122.8,-16.8,kA,1
2013-05-19 21:14:05,35.847,-97.287,84.2,18.6,kA,1
